idnt_album,Nombre_album
1,Purpose
2,Skrillex and Diplo present Jack Ü
3,Mientras No Cueste Más Trabajo
4,Sin Noticias De Holanda
5,Aún Más Curiosa La Cara De Tu Padre
6,Grandes exitos y fracasos- Episodio 2º
7,Material defectuoso
8,Mientras No Cueste Trabajo
9,Caminando Por La Vida [USA Release]
10,Agila
11,Para todos los públicos
12,La ley innata
13,Iros Todos A Tomar Por Culo
14,"Yo, Minoría Absoluta"
15,Por la boca vive el pez
16,Antes de que cuente diez
17,Grandes exitos y fracasos (Episodio 1º)
18,Canciones Prohibidas
19,Huyendo conmigo de mí
20,Dónde Están Mis Amigos
21,Allenrok
22,Deltoya
23,Lo mas lejos a tu lado
24,En directo desde el Teatro Arriaga
25,Vivo... para contarlo
26,"Feo, Fuerte y Formal"
27,El Creyente
28,Con Cierto Sentido
29,"Feo, Fuerte Y Formal"
30,Aproximaciones
31,Curiosa La Cara De Tu Padre
32,Rock Transgresivo
33,Estopa
34,Más Destrangis
35,2.0
36,Volvamos a empezar
37,Esto Es Estopa (Directo Acústico)
38,Voces de Ultrarumba
39,¿La Calle Es Tuya?
40,Lágrimas desordenadas
41,Los Sueños Locos
42,Un alumno más
43,Inéditos
44,Temas Inéditos 2
45,Animales
46,Pereza 10 Años
47,Aviones
48,Pereza
49,Pandora
50,Llámame Más Tarde (feat. Rosalía)
51,Algo para Cantar
52,Una Parte de Mí
53,El Viaje del Alma
54,Lobo Negro
55,Como No Te Voy a Querer
56,Realidades (feat. La Mentalidad)
57,Antes de Morirme (feat. Rosalía)
58,Después de todo
59,Esencial Pereza
60,Confía
61,Eterno
62,Recopilatorio de Temas Inéditos
63,Pegao (feat. Cuban Link)
64,Picadors
65,Stitches
66,Déjame Hablar Contigo
67,Operación Guitarra Sessions
68,Ahora
69,El Cantante
70,Al final es asho
71,Como las Olas y el Mar - Single
72,Rómpete el pantalón
73,Desde que Estamos Juntos
74,Algo Se Muere en Mí
75,Love Yourself
76,Rantan De Gyal
77,Vol.2
78,Trap Mirror
79,Pasion de Talibanes
80,La Estanquera de Saigón
81,Esclavo
82,Atlas: I
83,Pedrá
84,Besos de Perro
85,28.000 puñaladas
86,Coces al Aire 1997-2007
87,En mi hambre mando yo
88,Jauria de perros verdes. Rarezas
89,Las aceras estan llenas de piojos
90,Metallica
91,Appetite For Destruction
92,Use Your Illusion I
93,Coleccion
94,Muy Deficiente
95,Hay mucho Rock & Roll- Resumen
96,Revolcón
97,Por Encima del Bien y del Mal
98,Lo Que Aletea en Nuestras Cabezas
99,...Y Rozar Contigo
100,Reggaeton 2016
101,Motivan2
102,Nos Olvidamos
103,Vente Pa' Ca (Remixes) (feat. Maluma)
104,Primera Cita
105,Te Quiero Pa´Mi
106,La Promesa
107,Quédate
108,Shaky Shaky
109,Energía
110,"Destrozares, Canciones para el Final de los Tiempos"
111,Dale
112,Reggaeton!
113,Reggaeton 2016 - 40 Latin Hits Romantico - Los Exitos
114,Son Muchas Cosas
115,Todo Ska-p
116,Lagrimas Y Gozos
117,99%
118,Mundo Kaotiko
119,Raska Y Pierde
120,No Hay Agua
121,Porsupueston
122,Incontrolable
123,Kaotiko
124,Se Habla Español
125,Lendakaris Muertos
126,"Vine, Vi y Me Vendí"
127,Ellos Dicen Mierda
128,No Somos Nada
129,Sindicato del Crimen
130,Live In Woodstock Festival (Versión Comentada Spotify)
131,Planeta Eskoria
132,De Espaldas Al Mundo
133,Lágrimas de Rabia (Edición Exclusiva Spotify)
134,Esta noche se merece otra ronda
135,Y Evoluciona el Hombre (Salvajes Civilizados)
136,Cuando no te pones falda
137,Museo de Rejas Limadas
138,Gran Gala
139,Mazel Tov
140,Som Riu
141,Dios Te Odia
142,Finisterra
143,La Leyenda De La Mancha
144,Gaia
145,Camino de la vida entera
146,Vivos... Por Domesticar!
147,Quemaste Tus Alas De Ángel
148,A Cara de Perro
149,La Factoría del Contraste
150,¡¡¡Gracias!!!
151,Me Reclama
152,In Business
153,Con el viento de cara
154,Ay Haiti!
155,Rumba a Lo Desconocido
156,Esencial Estopa
157,2.0 (Instrumental)
158,Nunca se hará tarde
159,Colección Definitiva - 25 Años
160,La Patera
161,A golpes de Rock'n'Roll
162,Poesía Básica
163,Negociando gasolina
164,"Hay Mucho Rock & Roll, Vol. 1"
165,Hay poco Rock'n'Roll
166,Vamos Tirando
167,7
168,"Hay mucho Rock and Roll, Vol.2"
169,A las 12
170,Calles de Papel
171,A Pelo
172,Mira
173,Las putas mas viejas del mundo en concierto
174,Nubes y claros- Acustico 2006-
175,Eurosis
176,Voy A Acabar Borracho
177,Salud y buenos alimentos
178,Uzzhuaïa
179,Tahures Zurdos (1987 / 2004). 17 Años
180,El Directo
181,Vivo en un País...
182,No Time to Bleed
183,The Black Crown
184,A Night At The Opera
185,On Air
186,Quimeras y Otras Realidades
187,Ilussia
188,"Hechizos, pócimas y brujería"
189,Love and Oz
190,Maneras De Vivir
191,Senderos De Traición
192,Senderos De Traición - Edición Especial
193,25 Años
194,Medina Azahara
195,Todo Tiene Su Fin
196,Locos X El Rock Español
197,Todo Barricada
198,Mi único enemigo
199,Piedras
200,Joven Para Morir
201,Sangre Azul - Grandes Exitos
202,12 Botellines y 5 Tercios
203,Algazara
204,Escapa!
205,"Un, Dos, Tres, Fuego"
206,Una Bala
207,"Las 100 mejores canciones del Pop Español, Vol. 3"
208,Insurreccion (En Directo)
209,"Miseria, Sangre y Plomo"
210,Serendipia
211,Use Your Illusion II
212,Live Era '87-'93
213,G N' R Lies
214,20 y Serenos
215,No Tenemos Solucion
216,El doble de tu mitad
217,Ke No Cunda el Pánico
218,Led Zeppelin IV
219,Led Zeppelin II
220,Balance de Daños: Los Mejores Daños de Nuestras Vidas (Vol. 1) [Live]
221,"O Todo, O Nada"
222,Chinese Democracy
223,Greatest Hits
224,The Book of Souls
225,Dance Of Death
226,Pleasant Dreams
227,Gira de los Mil Conciertos
228,"Adios, Adios"
229,Noche De Rock And Roll
230,Accion Directa
231,La tierra esta sorda
232,Hombre mate hombre
233,Flechas cardinales
234,Agur Directo Pabellón Anaitasuna (Pamplona) 23/11/13
235,Gran Encuentro
236,Mundo Tóxico
237,Auschtwitz 05
238,"Y Si Quieres Llorar, Te Hago Reír"
239,Humo de Contrabando
240,Entre Poetas y Presos
241,Así en el Cielo Como en la Selva
242,Vulgar Display of Power
243,El Lado de los Rebeldes
244,Tempestes Vénen del Sud
245,Nevermind
246,Morfología
247,Armamente
248,Crucificados por el Antisistema
249,Cicatriz en la Matrix
250,Riot Propaganda
251,The Sound of the Smiths
252,El Círculo (Versión Exclusiva de Spotify)
253,Sindicato del Crimen - Comentarios
254,X
255,Hil Orduko Bizi
256,La Real Música Explícita
257,Si uno no se rinde
258,Viridarquia
259,Vivir para Contarlo
260,Vivir para Contarlo / Haciendo Lo Nuestro
261,Vicios y Virtudes
262,España es idiota
263,Ay Qué Gustito Pa Mi Orejas
264,Cambiarlo Todo
265,Cóseme
266,Cowboys from Hell
267,Clásicos II
268,Denbora Da Poligrafo Bakarra
269,Libre ©
270,Hertzainak
271,Arde Ribera
272,Los Muertos de Siempre
273,Agenda Oculta
274,Porretas
275,Dementes
276,Y Ahora Qué?
277,Nunca Es Tarde... Si la Dicha Es Buena
278,Cosas de Este Mundo
279,Aquí huele a romero
280,The Queen Is Dead
281,The Smiths
282,"All Killer, No Filler"
283,Does This Look Infected?
284,13 Voices
285,All The Good Sh**. 14 Solid Gold Hits (2000-2008)
286,Underclass Hero
287,Sinner
288,Say Hello to Tragedy
289,Far Beyond Driven
290,Countdown To Extinction
291,Rust In Peace
292,The World Needs a Hero
293,Youthanasia
294,Hardwired…To Self-Destruct
295,Way Back When
296,Dystopia
297,Reign In Blood
298,Master Of Puppets
299,The Spaghetti Incident?
300,The System Has Failed
301,Bleach: Deluxe Edition
302,MTV Unplugged In New York
303,Second Helping
304,(Pronounced 'Leh-'Nérd 'Skin-'Nérd)
305,X Anniversarivm
306,Toxicity
307,Screaming Bloody Murder
308,1984
309,Dr. Feelgood
310,"Girls, Girls, Girls"
311,El Clan de la Lucha
312,Secretos y Revelaciones
313,Revelaciones de una Noche
314,Antes... y Después
315,Syberia
316,Larga Vida Al Rock & Roll
317,Las Aventuras del Barón
318,Open Up And Say...Ahh!
319,Chuck
320,Experiencias de un Batracio (En Directo)
321,Vol. 3: The Subliminal Verses
322,All Hope Is Gone
323,Heavy (feat. Kiiara)
324,Hybrid Theory
325,Wish You Were Here
326,The Wall [2011 - Remaster]
327,Too Rye Ay
328,Heroes
329,Dirt
330,Facelift
331,Final Engagement
332,This Is What I Know About Being Gigantic
333,"Lullaby for Your Pet - Relaxing Music for Dogs & Cats, Calming Sounds to Reduce Stress of Animals, Music Therapy for Pets Comfort & Happiness"
334,Choose Life
335,...Que Sigues Ahí
336,Alice In Chains
337,Californication
338,Live At The House Of Blues: Cleveland 9.15.07
339,Somos Unos Animales
340,La Ira
341,Hamlet
342,Amnesia
343,Tiempos Oscuros
344,¡No Intente Hacer Esto en Su Casa!
345,Siglo XXI
346,Cómo Convertirse en Nada
347,Sangre Y Mierda
348,El Inferno
349,Nostrat
350,Ska-P
351,"Si Es Legal Es Ético, Si No Fuera Ético, Sería Ilegal"
352,El Que Mas
353,En Directo
354,Vida
355,Sueños
356,Hidden Evolution
357,Crónicas de Aravan
358,JuglarMetal (Official)
359,20… al Mundo de los Sueños (Live)
360,Legado De Juglares (Official)
361,Legado de Juglares
362,Meriendacena Con Satán
363,Babuinos del Metal
364,El Reno Renardo
365,El Improperio Contraataca
366,Y el Reino de la Cagalera de Bisbal
367,Sanatorio de Muñecos
368,El Vals Del Obrero
369,Que Corra La Voz
370,Subnorcracia - Single
371,Meriendacena Medieval - Single
372,Cryptic Writings
373,Drowning Pool
374,Lume
375,Hell Awaits
376,South Of Heaven
377,.5: The Gray Chapter
378,The Great Southern Trendkill
379,The Great Southern Trendkill (20th Anniversary Edition)
380,Reinventing the Steel
381,Official Live: 101 Proof
382,Art Of War
383,Combat Rock (Remastered)
384,Correos
385,Rage Against The Machine - XX (20th Anniversary Special Edition)
386,The Battle Of Los Angeles
387,Evil Empire
388,Renegades
389,Spreading The Disease
390,For All Kings
391,Ronnie James Dio - This Is Your Life
392,Among The Living
393,Persistence Of Time
394,Attack Of The Killer B's
395,State Of Euphoria
396,Denak Ez Du Balio-Singles 1997-2007
397,Bakarrik Egoteko Modu Berri Bat
398,Jaio.Musika.Hil
399,Kontratiempos
400,Mezmerize
401,Hypnotize
402,Roots [Special Edition]
403,Pasión de Talibanes el Deuvedé
404,London Calling (Remastered)
405,Peace Sells...But Who's Buying
406,Garage Inc.
407,Metallica Through The Never
408,Carolus Rex
409,The Last Stand
410,Primo Victoria
411,Show No Mercy
412,God Hates Us All
413,Seasons In The Abyss
414,Repentless
415,Ojalá
416,Vuelve
417,Esencial
418,Sentir
419,A Puerta Cerrada
420,Frío
421,Corazon de Piedra
422,Albayzín Recopilatorio
423,Sakalakalashnikov
424,El seísmo
425,Luciffer
426,Toys In The Attic
427,Mala Mujer
428,En Tus Manos (Reedition)
429,Uno
430,Imborrable
431,Curso Básico de Poesía
432,Tú Me Obligaste
433,Sin alas
434,Dr. Charas
435,Monstruos
436,Entre dos mares
437,Al Final de Este Viaje...
438,Silvio
439,"En Vivo en Argentina, Vol. 2"
440,Carita de buena
441,Mi Ciudad
442,Nemesis
443,"Morir en el Bien, Vivir en el Mal"
444,Agotarás
445,Gaia II
446,Llegará
447,British Steel
448,Painting With Dreams
449,Rage Against The Machine
450,Killing Me Softly
451,Crazy World
452,Painkiller
453,The Legacy
454,Are You Dead Yet?
455,Comeblack
456,Salvajes irracionales
457,Kings of Metal
458,Battle Hymns
459,Skid Row
460,Slave to the Grind
461,Ten
462,Aerosmith
463,Hits Back
464,Sandinista! (Remastered)
465,Inmortal
466,Preparate
467,The Best Of
468,Requiem Tercer Acto
469,Revolución
470,Poe
471,El Ángel Caído
472,El Hijo Pródigo - special edition
473,Grandes Éxitos
474,Rumours
475,Donde el Silencio Se Rompió...
476,Tierras de Leyenda
477,Tiempos de Directo
478,Animal solitario
479,The Platinum Collection
480,La Gran Orquesta Kamastronica de la Zanfoña Galactica
481,Sin Tiempo
482,Screaming For Vengeance
483,Smells Like Children
484,"Ondas Cerebrales Para Estudiar (musica para concentrarse , musica para relajarse, musica para estudiar)"
485,Musica Para Estudiar - Musica Clasica Para Estudiar
486,Piano & Chill
487,La Valse D'Amélie
488,Focus Your Brain - Deep Ambient Soundscapes Vol 1
489,Alma De Fuego
490,El Sello de los Tiempos
491,Living After Midnight
492,Redeemer of Souls (Deluxe)
493,Sad Wings Of Destiny
494,Nuestro Turno
495,Stained Class
496,Antichrist Superstar
497,Come What(ever) May
498,"House of Gold & Bones, Part 1"
499,Hydrograd
500,Hail to the King
501,Turbo 30
502,Nightmare
503,City of Evil
504,Llanto de un Héroe
505,Las Ruinas del Edén
506,Follow The Leader
507,Paranoid
508,Dónde Está la Luz
509,Infrasoinuak
510,El Crisol
511,20 Aniversario
512,Heroes on Tour
513,The Game
514,Zaz
515,Edith Piaf - The Best Of
516,Magma
517,Ricchi e Poveri
518,50 Grans Succès
519,Françoise Hardy (Tous les garçons et les filles)
520,Fréro Delavega
521,Brothers In Arms
522,Goats Head Soup
523,Dernière Danse
524,Master of Reality
525,Heaven & Hell
526,Black Sabbath
527,Kalima
528,Vol.1
529,World War Live - Battle Of The Baltic Sea
530,La Puta y el Diablo
531,Directo
532,Hatebreeder
533,Halo Of Blood
534,"Holiday At Lake Bodom, 15 Years of Wasted Youth"
535,Hate Crew Deathroll
536,Ashes Of The Wake
537,Sacrament
538,VII: Sturm Und Drang
539,New American Gospel
540,June Heat EP
541,Vulcano
542,Pura Vida
543,Superbia
544,2x1 Sober
545,La Quinta Esencia
546,Letargo
547,Coge la vida
548,Slipknot
549,Supernova
550,Fighting the World
551,La Magia de la Luna
552,Sinfonias De Los Bosques (Official)
553,Sueños (Comentarios)
554,Maryam (Official)
555,Once Romances Desde Al-Andalus (Official)
556,Legends of Metal
557,The World Is Yours
558,Oerwoud
559,White Pony
560,Katana Tube 2
561,Katana Tube
562,Emperor of Sand
563,Leviathan
