idnt_artista,Nombre_artista
1,Justin Bieber
2,Jack Ü
3,Melendi
4,Extremoduro
5,Fito y Fitipaldis
6,Estopa
7,Loquillo Y Los Trogloditas
8,Loquillo
9,Los Secretos
10,Pereza
11,Beret
12,Xenon
13,C. Tangana
14,Denom
15,Tosko
16,AMBKOR
17,Costa
18,Fyahbwoy
19,Ocer y Rade
20,Rafa Espino
21,Kaze
22,Ikki
23,Ses Bubotes
24,Bely Basarte
25,Lytos
26,El Niño de la Hipoteca
27,Green Valley
28,Fabbiko
29,P.A.W.N. Gang
30,El Vega Life
31,Magic Magno
32,Iván Nieto
33,Beretta
34,Glaukoma
35,Los Chikos del Maiz
36,Extremoduro + Albert Pla
37,Guasones
38,Sleeping At Last
39,Marea
40,Metallica
41,Guns N' Roses
42,Platero Y Tu
43,Robe
44,El Micha
45,El Mayor Clasico
46,Pitbull
47,Zion & Lennox
48,Ken-Y
49,Ricky Martin
50,CNCO
51,Don Omar
52,Justin Quiles
53,Andy Rivera
54,Daddy Yankee
55,J Balvin
56,Jacob Forever
57,Paramba
58,Peter Nieto
59,Ilegales
60,"Secreto ""El Famoso Biberon"""
61,Fulanito
62,El Chacal
63,Baby Rhagga
64,Ska-P
65,Kaotiko
66,Kaos Etíliko
67,Lendakaris Muertos
68,La Polla Records
69,Boikot
70,Sinkope
71,Talco
72,Txarango
73,Narco
74,Mägo de Oz
75,Canteca de macao
76,El Último Ke Zierre
77,Leo Jiménez
78,Mambo Kingz
79,Luigi 21 Plus
80,Desakato
81,Alejandro Sanz
82,La Fuga
83,Extrechinato y Tu
84,Rosendo
85,Uzzhuaïa
86,Tahúres Zúrdos
87,Porretas
88,Suicide Silence
89,Queen
90,Inconscientes
91,Leño
92,Heroes Del Silencio
93,Medina Azahara
94,Barricada
95,Puerta 104
96,Ángeles Del Infierno
97,Sangre Azul
98,Reincidentes
99,Segismundo Toxicómano
100,El Último De La Fila
101,Memoria de pez
102,Rulo y la contrabanda
103,Led Zeppelin
104,Habeas Corpus
105,Iron Maiden
106,Ramones
107,Los Suaves
108,Conjunto Primavera
109,La Raíz
110,Pantera
111,ZOO
112,Nirvana
113,Sôber
114,Riot Propaganda
115,The Smiths
116,Kase.O
117,Arkada Social
118,Lágrimas De Sangre
119,Violadores Del Verso
120,Def Con Dos
121,Berri Txarrak
122,Hertzainak
123,Piperrak
124,Sum 41
125,Drowning Pool
126,Caliban
127,Megadeth
128,Slayer
129,Lynyrd Skynyrd
130,System Of A Down
131,Van Halen
132,Mötley Crüe
133,Saratoga
134,Hamlet
135,Barón Rojo
136,Poison
137,Slipknot
138,Linkin Park
139,Pink Floyd
140,Dexys Midnight Runners
141,David Bowie
142,Alice In Chains
143,Marc Maron
144,Minus the Bear
145,Cats Music Zone
146,PF Project
147,Transfer
148,Red Hot Chili Peppers
149,Soziedad Alkoholika
150,Gatillazo
151,KOP
152,Sons of Aguirre
153,Obus
154,Saurom
155,Angelus Apatrida
156,Darksun
157,El Reno Renardo
158,Bala
159,Sabaton
160,The Clash
161,Rage Against The Machine
162,Anthrax
163,Envidia Kotxina
164,Sepultura
165,Ayax y Prok
166,Arce
167,Aerosmith
168,Demarco Flamenco
169,Dante
170,Rapsusklei
171,Antonio José
172,Soge Culebra
173,Taburete
174,Leiva
175,Silvio Rodríguez
176,Pablo Milanés
177,Efecto Pasillo
178,Judas Priest
179,Tritonal
180,Roberta Flack
181,Scorpions
182,Testament
183,Children Of Bodom
184,Manowar
185,Skid Row
186,Pearl Jam
187,Warcry
188,Stravaganzza
189,Opera Magna
190,Avalanch
191,Joy Division
192,Fleetwood Mac
193,Tierra Santa
194,La Selva Sur
195,Marilyn Manson
196,Ondas Alfa
197,Musica Para Estudiar Academy
198,Charles Bolt
199,Regina Mira
200,Jón & Jálfur
201,Zenobia
202,Repercusión
203,Stone Sour
204,Avenged Sevenfold
205,Korn
206,Black Sabbath
207,Skunk D.F.
208,Zaz
209,Édith Piaf
210,Gojira
211,Ricchi E Poveri
212,Joséphine Baker
213,Françoise Hardy
214,Fréro Delavega
215,Dire Straits
216,The Rolling Stones
217,Indila
218,Lamb of God
219,thefaded
220,Trivium
221,Motörhead
222,Juan V
223,Deftones
224,Gastar-Ten
225,Tool
226,Mastodon
227,King Crimson
228,Machine Head
229,Skizoo
230,Aspid
231,Lujuria
232,AC/DC
233,Lolita
234,Rise Against
235,Rata Blanca
236,Annihilator
237,Monster Magnet
238,Steel Panther
239,Jefferson Airplane
240,36 Crazyfists
241,Amon Amarth
242,Green Day
243,Ktulu
244,Cannibal Corpse
245,Papa Roach
246,Bastards On Parade
247,Kurt Cobain
248,Pupajim
249,Lándevir
250,Kannon
251,Sugarless
252,Hora Zulu
253,Burzum
254,Amesoeurs
255,Emperor
256,Día Sexto
257,Lifelover
258,Lustre
259,Ulver
260,Gorgoroth
261,The Ruins Of Beverast
262,PATRIARKH
263,Iggy Pop
264,Brian Eno
265,Liturgy
266,Deafheaven
267,Violet Cold
268,Agalloch
269,Ghost Bath
270,Alcest
271,Venom
272,Pagoda
273,Hole
274,Silverchair
275,Ezetaerre
276,Furbah
277,Bathory
278,Primordial
279,DOWN
280,Frida
281,Lofofora
282,White Zombie
283,Woods Of Ypres
284,Accept
285,Ozzy Osbourne
286,UFO
287,Mercyful Fate
288,Mayhem
289,Exodus
290,HammerFall
291,Frankie Ruiz
292,U2
293,Ana Gabriel
294,Avatar
295,L7
296,2Pac
297,Buhos
298,Nacho
299,Nas
300,In Flames
301,At The Gates
302,Dark Tranquillity
303,Opeth
304,Volbeat
305,Mandowar
306,Lepoka
307,WWE
308,Iced Earth
309,Incursed
310,Dragonfly
311,Eskorbuto
312,Boot Boys
313,Salduie
314,Legado de una Tragedia
315,Debler
316,Epica
317,Kampfar
318,Sylvania
319,The Doors
320,Green River
321,Mother Love Bone
322,Audioslave
323,Screaming Trees
324,Eluveitie
325,Dagoba
326,Guadaña
327,Drakum
