idnt_pista,Nombre_pista,idnt_album,idnt_artista
1,Sorry,1,1
2,Love Yourself,1,1
3,What Do You Mean?,1,1
4,Where Are Ü Now (with Justin Bieber),2,2
5,El Tiempo Que Gasto,3,3
6,Un Recuerdo Que Olvidar - 2006 Remastered Version,4,3
7,Una Historia De Dos,5,3
8,Mientras No Cueste Trabajo,3,3
9,Children,1,1
10,Mark My Words,1,1
11,Been You,1,1
12,All In It,1,1
13,Life Is Worth Living,1,1
14,Trust,1,1
15,What Do You Mean? - Acoustic,1,1
16,Stand By - Versión 2004,6,4
17,Mi espíritu imperecedero,7,4
18,Desarraigo,7,4
19,Otra inútil canción para la paz,7,4
20,Con la luna llena,4,3
21,Por Que tu No Eres Un Coche,8,3
22,Solo Pienso En Ti,5,3
23,Echarte A Suertes,3,3
24,Caminando por la vida - Remasterized,9,3
25,Asturias - 2006 Remastered Version,4,3
26,La Aceituna,3,3
27,So payaso,10,4
28,Entre interiores,11,4
29,Si te vas...,7,4
30,Tango suicida,7,4
31,Dulce introducción al caos,12,4
32,"Ama, ama, ama y ensancha el alma - Live",13,4
33,Primer movimiento: el sueño,12,4
34,Hoy te la meto hasta las orejas,14,4
35,Calle Esperanza s/n,7,4
36,Tercer movimiento: lo de dentro,12,4
37,A fuego,14,4
38,Por la boca vive el pez,15,5
39,Me acordé de ti,16,5
40,El camino de las utopías,11,4
41,De acero - Live,13,4
42,La canción de los oficios - Versión 2004,17,4
43,Enemigo,18,4
44,Nada de nada,19,5
45,No me calientes que me hundo,20,4
46,Pesadilla,21,6
47,Sol de invierno - Versión 2004,22,4
48,Umore ona,19,5
49,El duende del parque,20,4
50,"Ama, ama, ama y ensancha el alma - Versión 2004",17,4
51,Tu corazón - Versión 2004,17,4
52,El ojo que me mira,23,5
53,Entre la espada y la pared,19,5
54,Garabatos - Las Ventas 2015,19,5
55,Como pollo sin cabeza - Directo Teatro Arriaga,24,5
56,Un buen castigo,23,5
57,Para toda la vida - Directo 2004,25,5
58,Me equivocaría otra vez,15,5
59,Lo que sobra de mí - Las Ventas 2015,19,5
60,Feo,23,5
61,Mi Calle,26,7
62,El Mánager,26,7
63,Deportivo 7,26,7
64,El rompeolas - Directo Granada 2014,27,8
65,Por el boulevard de los sueños rotos - Acústico,28,9
66,Soltando Lastre,29,7
67,Por Mi Tripa,30,10
68,Golfa,18,4
69,Qué Más Puede Salir Mal,31,3
70,La hoguera,32,4
71,Me Falta el Aliento,33,6
72,Mis Alas Son Tus Hojas,31,3
73,"Villancico del rey de Extremadura - Vaya puta mierda de villancico, colega",18,4
74,Lo que sobra de mí,19,5
75,Decidí - Versión 2004,32,4
76,El Blade,34,6
77,Luce la oscuridad,14,4
78,La vereda de la puerta de atrás,14,4
79,Última generación,22,4
80,Tan Solo,33,6
81,Bulerías de la sangre caliente,22,4
82,Alma Animal,35,6
83,De acero - Versión 2004,6,4
84,Cierra los ojos,36,3
85,Kisiera Yo Saber - Remasterized,9,3
86,Naturaleza - Directo Acústico,37,6
87,Que Suerte la Mía,38,6
88,Canción de amor caducada,36,3
89,Con Sólo Una Sonrisa - Remasterized;2003 Remastered Version,9,3
90,Corazón Aerodinámico,39,6
91,Malabares,38,6
92,Corazón de peón,36,3
93,Bossanova,33,6
94,Madre (Directo),34,6
