fecha,milisegundos,Nombre_episodio,razon_comienzo,razon_fin,aleatorio,saltado,idnt_episodio,idnt_comienzo,idnt_fin
2019-01-12 07:31:54+00:00,59360,Wikipodcast02 - Noticias 07/10,clickrow,endplay,False,False,1,4,2
2019-10-19 21:47:19+00:00,3517,marihuana,playbtn,endplay,False,False,2,8,2
2020-07-07 13:18:07+00:00,0,Nadie Sabe Nada: Que la mascarilla no oculte la risa (04/07/2020),clickrow,unexpected-exit,False,False,3,4,6
2020-07-07 13:18:50+00:00,33716,Nadie Sabe Nada: Que la mascarilla no oculte la risa (04/07/2020),clickrow,endplay,False,False,3,4,2
2020-07-31 21:48:48+00:00,11717,Como aman los pobres (Gata Cattana),clickrow,endplay,False,False,4,4,2
2021-02-01 07:22:20+00:00,3621709,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-01 23:06:20+00:00,9921,Chuva Suave para Dormir ,clickrow,endplay,False,False,6,4,2
2021-02-02 06:34:31+00:00,1812009,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-03 06:35:18+00:00,736546,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-03 06:35:32+00:00,8175,Musica para dormir rápido,appload,endplay,False,False,5,1,2
2021-02-05 23:12:09+00:00,1800978,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-05 23:47:27+00:00,93013,Musica para dormir rápido,appload,logout,False,False,5,1,7
2021-02-06 07:45:54+00:00,1790659,Musica para dormir rápido,appload,logout,False,False,5,1,7
2021-02-13 10:18:13+00:00,1806122,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-15 06:37:26+00:00,2742958,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-15 06:37:42+00:00,368,Musica para dormir rápido,appload,endplay,False,False,5,1,2
2021-02-15 17:58:23+00:00,1130,Chuva Suave para Dormir ,clickrow,endplay,False,False,6,4,2
2021-02-15 18:04:59+00:00,2681,Musica para dormir rápido,clickrow,endplay,False,False,5,4,2
2021-02-18 07:43:32+00:00,1822097,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-19 08:09:39+00:00,1805453,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-23 05:54:07+00:00,1804213,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-02-27 07:12:03+00:00,1806392,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-03-02 06:49:07+00:00,1807239,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-03-07 22:52:15+00:00,9140,Hipnosis para Dormir 2021 🥱💤,clickrow,backbtn,False,False,7,4,9
2021-03-07 22:52:22+00:00,0,Yoga para Dormir - Abrazo de Agua 🌊🫂✨,backbtn,endplay,False,False,8,7,2
2021-03-08 05:39:57+00:00,1808063,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-03-08 05:40:04+00:00,7231,Musica para dormir rápido,appload,endplay,False,False,5,1,2
2021-03-09 06:12:07+00:00,1806685,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-03-10 06:39:14+00:00,2100007,Musica para dormir rápido,clickrow,unexpected-exit,False,False,5,4,6
2021-03-10 06:39:32+00:00,12637,Musica para dormir rápido,appload,endplay,False,False,5,1,2
2021-03-11 06:33:46+00:00,1809351,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-03-11 06:33:59+00:00,11992,Musica para dormir rápido,appload,endplay,False,False,5,1,2
2021-03-13 14:35:14+00:00,1804808,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-03-14 11:08:59+00:00,1831867,Musica para dormir rápido,clickrow,logout,False,False,5,4,7
2021-03-16 22:53:49+00:00,121523,Musica para dormir rápido,clickrow,unexpected-exit,False,False,5,4,6
