idnt_show,Nombre_show_episodio
1,Wikipodcast
2,Marihuana
3,Nadie Sabe Nada
4,Versos a Voces
5,Musicas para Relaxar
6,Salud Mental✨ con Alan Disavia
7,Psicologia Al Desnudo | @psi.mammoliti
8,SONIDOS PARA EL ALMA.
9,La Pija y la Quinqui
10,Dj bm mix
11,Meditation Life Skills Podcast - Learn How To Meditate
12,Cambia Tu Mente Y Podrás Cambiar Tu Vida
13,Meditaaccion
14,LAS MEMORIAS DEL ALMA
15,Sonidos del Cosmos
16,Study Focus
17,Meditation Sounds
18,bella’s study corner 
19,Dormicast
20, Estefania Girón 777
21,Padres Primerizos
22,The Sleep Zone Podcast
23,Meditación para dormir
24,El Faro
25,BELARRIJANA
26,Diario de Alejandra Pizarnik.
27,Conferencias
28,Un Libro Una Hora
29,Tu amiga psicóloga
